,date,precipitation,temp_max,temp_min,wind,weather,year,month,day,weather_encoded
0,2012-01-01,0.0,12.8,5.0,4.7,drizzle,2012,January,Sunday,0
1,2012-01-02,10.9,10.6,2.8,4.5,rain,2012,January,Monday,2
2,2012-01-03,0.8,11.7,7.2,2.3,rain,2012,January,Tuesday,2
3,2012-01-04,20.3,12.2,5.6,4.7,rain,2012,January,Wednesday,2
4,2012-01-05,1.3,8.9,2.8,6.1,rain,2012,January,Thursday,2
5,2012-01-06,2.5,4.4,2.2,2.2,rain,2012,January,Friday,2
6,2012-01-07,0.0,7.2,2.8,2.3,rain,2012,January,Saturday,2
7,2012-01-08,0.0,10.0,2.8,2.0,sun,2012,January,Sunday,4
8,2012-01-09,4.3,9.4,5.0,3.4,rain,2012,January,Monday,2
9,2012-01-10,1.0,6.1,0.6,3.4,rain,2012,January,Tuesday,2
10,2012-01-11,0.0,6.1,-1.1,5.1,sun,2012,January,Wednesday,4
11,2012-01-12,0.0,6.1,-1.7,1.9,sun,2012,January,Thursday,4
12,2012-01-13,0.0,5.0,-2.8,1.3,sun,2012,January,Friday,4
13,2012-01-14,4.1,4.4,0.6,5.3,snow,2012,January,Saturday,3
14,2012-01-15,5.3,1.1,-3.3,3.2,snow,2012,January,Sunday,3
15,2012-01-16,2.5,1.7,-2.8,5.0,snow,2012,January,Monday,3
16,2012-01-17,8.1,3.3,0.0,5.6,snow,2012,January,Tuesday,3
17,2012-01-18,19.8,0.0,-2.8,5.0,snow,2012,January,Wednesday,3
18,2012-01-19,15.2,-1.1,-2.8,1.6,snow,2012,January,Thursday,3
19,2012-01-20,13.5,7.2,-1.1,2.3,snow,2012,January,Friday,3
20,2012-01-21,3.0,8.3,3.3,8.2,rain,2012,January,Saturday,2
21,2012-01-22,6.1,6.7,2.2,4.8,rain,2012,January,Sunday,2
22,2012-01-23,0.0,8.3,1.1,3.6,rain,2012,January,Monday,2
23,2012-01-24,8.6,10.0,2.2,5.1,rain,2012,January,Tuesday,2
24,2012-01-25,8.1,8.9,4.4,5.4,rain,2012,January,Wednesday,2
25,2012-01-26,4.8,8.9,1.1,4.8,rain,2012,January,Thursday,2
26,2012-01-27,0.0,6.7,-2.2,1.4,drizzle,2012,January,Friday,0
27,2012-01-28,0.0,6.7,0.6,2.2,rain,2012,January,Saturday,2
28,2012-01-29,27.7,9.4,3.9,4.5,rain,2012,January,Sunday,2
29,2012-01-30,3.6,8.3,6.1,5.1,rain,2012,January,Monday,2
30,2012-01-31,1.8,9.4,6.1,3.9,rain,2012,January,Tuesday,2
31,2012-02-01,13.5,8.9,3.3,2.7,rain,2012,February,Wednesday,2
32,2012-02-02,0.0,8.3,1.7,2.6,sun,2012,February,Thursday,4
33,2012-02-03,0.0,14.4,2.2,5.3,sun,2012,February,Friday,4
34,2012-02-04,0.0,15.6,5.0,4.3,sun,2012,February,Saturday,4
35,2012-02-05,0.0,13.9,1.7,2.9,sun,2012,February,Sunday,4
36,2012-02-06,0.0,16.1,1.7,5.0,sun,2012,February,Monday,4
37,2012-02-07,0.3,15.6,7.8,5.3,rain,2012,February,Tuesday,2
38,2012-02-08,2.8,10.0,5.0,2.7,rain,2012,February,Wednesday,2
39,2012-02-09,2.5,11.1,7.8,2.4,rain,2012,February,Thursday,2
40,2012-02-10,2.5,12.8,6.7,3.0,rain,2012,February,Friday,2
41,2012-02-11,0.8,8.9,5.6,3.4,rain,2012,February,Saturday,2
42,2012-02-12,1.0,8.3,5.0,1.3,rain,2012,February,Sunday,2
43,2012-02-13,11.4,7.2,4.4,1.4,rain,2012,February,Monday,2
44,2012-02-14,2.5,6.7,1.1,3.1,rain,2012,February,Tuesday,2
45,2012-02-15,0.0,7.2,0.6,1.8,drizzle,2012,February,Wednesday,0
46,2012-02-16,1.8,7.2,3.3,2.1,rain,2012,February,Thursday,2
47,2012-02-17,17.3,10.0,4.4,3.4,rain,2012,February,Friday,2
48,2012-02-18,6.4,6.7,3.9,8.1,rain,2012,February,Saturday,2
49,2012-02-19,0.0,6.7,2.2,4.7,sun,2012,February,Sunday,4
50,2012-02-20,3.0,7.8,1.7,2.9,rain,2012,February,Monday,2
51,2012-02-21,0.8,10.0,7.8,7.5,rain,2012,February,Tuesday,2
52,2012-02-22,8.6,10.0,2.8,5.9,rain,2012,February,Wednesday,2
53,2012-02-23,0.0,8.3,2.8,3.9,sun,2012,February,Thursday,4
54,2012-02-24,11.4,6.7,4.4,3.5,rain,2012,February,Friday,2
55,2012-02-25,0.0,7.2,2.8,6.4,rain,2012,February,Saturday,2
56,2012-02-26,1.3,5.0,-1.1,3.4,snow,2012,February,Sunday,3
57,2012-02-27,0.0,6.7,-2.2,3.0,sun,2012,February,Monday,4
58,2012-02-28,3.6,6.7,-0.6,4.2,snow,2012,February,Tuesday,3
59,2012-02-29,0.8,5.0,1.1,7.0,snow,2012,February,Wednesday,3
60,2012-03-01,0.0,6.1,1.1,3.1,sun,2012,March,Thursday,4
61,2012-03-02,2.0,6.7,3.9,5.1,rain,2012,March,Friday,2
62,2012-03-03,0.0,12.2,6.7,7.0,sun,2012,March,Saturday,4
63,2012-03-04,0.0,10.6,6.7,5.6,rain,2012,March,Sunday,2
64,2012-03-05,6.9,7.8,1.1,6.2,rain,2012,March,Monday,2
65,2012-03-06,0.5,6.7,0.0,2.7,snow,2012,March,Tuesday,3
66,2012-03-07,0.0,8.9,-1.7,2.7,sun,2012,March,Wednesday,4
67,2012-03-08,0.0,15.6,0.6,2.5,sun,2012,March,Thursday,4
68,2012-03-09,3.6,9.4,5.0,2.8,rain,2012,March,Friday,2
69,2012-03-10,10.4,7.2,6.1,3.4,rain,2012,March,Saturday,2
70,2012-03-11,13.7,6.7,2.8,5.8,rain,2012,March,Sunday,2
71,2012-03-12,19.3,8.3,0.6,6.2,snow,2012,March,Monday,3
72,2012-03-13,9.4,5.6,0.6,5.3,snow,2012,March,Tuesday,3
73,2012-03-14,8.6,7.8,1.1,4.7,rain,2012,March,Wednesday,2
74,2012-03-15,23.9,11.1,5.6,5.8,snow,2012,March,Thursday,3
75,2012-03-16,8.4,8.9,3.9,5.1,rain,2012,March,Friday,2
76,2012-03-17,9.4,10.0,0.6,3.8,snow,2012,March,Saturday,3
77,2012-03-18,3.6,5.0,-0.6,2.7,rain,2012,March,Sunday,2
78,2012-03-19,2.0,7.2,-1.1,3.0,rain,2012,March,Monday,2
79,2012-03-20,3.6,7.8,2.2,6.4,rain,2012,March,Tuesday,2
80,2012-03-21,1.3,8.9,1.1,2.5,rain,2012,March,Wednesday,2
81,2012-03-22,4.1,10.0,1.7,2.1,rain,2012,March,Thursday,2
82,2012-03-23,0.0,12.2,0.6,2.8,sun,2012,March,Friday,4
83,2012-03-24,0.0,15.0,3.3,5.2,sun,2012,March,Saturday,4
84,2012-03-25,0.0,13.3,2.2,2.7,rain,2012,March,Sunday,2
85,2012-03-26,0.0,12.8,6.1,4.3,drizzle,2012,March,Monday,0
86,2012-03-27,4.8,14.4,6.7,3.8,rain,2012,March,Tuesday,2
87,2012-03-28,1.3,10.6,7.2,5.9,rain,2012,March,Wednesday,2
88,2012-03-29,27.4,10.0,6.1,4.4,rain,2012,March,Thursday,2
89,2012-03-30,5.6,9.4,5.0,4.7,rain,2012,March,Friday,2
90,2012-03-31,13.2,10.0,2.8,3.4,rain,2012,March,Saturday,2
91,2012-04-01,1.5,8.9,4.4,6.8,rain,2012,April,Sunday,2
92,2012-04-02,0.0,16.7,4.4,3.1,sun,2012,April,Monday,4
93,2012-04-03,1.5,11.7,3.3,3.1,rain,2012,April,Tuesday,2
94,2012-04-04,0.0,10.6,2.8,2.1,sun,2012,April,Wednesday,4
95,2012-04-05,4.6,9.4,2.8,1.8,snow,2012,April,Thursday,3
96,2012-04-06,0.3,11.1,3.3,2.6,rain,2012,April,Friday,2
97,2012-04-07,0.0,16.1,1.7,4.3,sun,2012,April,Saturday,4
98,2012-04-08,0.0,21.1,7.2,4.1,sun,2012,April,Sunday,4
99,2012-04-09,0.0,20.0,6.1,2.1,sun,2012,April,Monday,4
100,2012-04-10,0.0,17.8,8.9,3.2,rain,2012,April,Tuesday,2
101,2012-04-11,2.3,11.1,7.2,2.6,rain,2012,April,Wednesday,2
102,2012-04-12,0.5,13.9,5.6,2.6,rain,2012,April,Thursday,2
103,2012-04-13,0.0,15.0,3.9,4.0,drizzle,2012,April,Friday,0
104,2012-04-14,0.0,15.6,3.3,3.0,sun,2012,April,Saturday,4
105,2012-04-15,0.0,16.1,7.2,2.9,rain,2012,April,Sunday,2
106,2012-04-16,8.1,13.3,6.7,5.8,rain,2012,April,Monday,2
107,2012-04-17,1.8,10.0,4.4,2.0,rain,2012,April,Tuesday,2
108,2012-04-18,1.8,13.3,7.2,3.9,rain,2012,April,Wednesday,2
109,2012-04-19,10.9,13.9,5.0,2.6,rain,2012,April,Thursday,2
110,2012-04-20,6.6,13.3,6.7,2.7,rain,2012,April,Friday,2
111,2012-04-21,0.0,20.0,4.4,2.3,sun,2012,April,Saturday,4
112,2012-04-22,0.0,23.3,8.3,2.6,rain,2012,April,Sunday,2
113,2012-04-23,0.0,21.7,8.9,3.5,sun,2012,April,Monday,4
114,2012-04-24,4.3,13.9,10.0,2.8,rain,2012,April,Tuesday,2
115,2012-04-25,10.7,16.7,8.9,2.6,rain,2012,April,Wednesday,2
116,2012-04-26,3.8,13.9,6.7,5.2,rain,2012,April,Thursday,2
117,2012-04-27,0.8,13.3,6.1,4.8,rain,2012,April,Friday,2
118,2012-04-28,0.0,16.1,8.3,2.5,drizzle,2012,April,Saturday,0
119,2012-04-29,4.3,15.6,8.9,1.6,rain,2012,April,Sunday,2
120,2012-04-30,4.3,12.8,7.2,8.0,rain,2012,April,Monday,2
121,2012-05-01,0.5,11.7,6.1,6.4,rain,2012,May,Tuesday,2
122,2012-05-02,0.5,13.3,5.6,2.5,rain,2012,May,Wednesday,2
123,2012-05-03,18.5,11.1,7.2,3.4,rain,2012,May,Thursday,2
124,2012-05-04,1.8,12.2,6.1,4.6,rain,2012,May,Friday,2
125,2012-05-05,0.0,13.3,5.0,2.3,sun,2012,May,Saturday,4
126,2012-05-06,0.0,17.8,5.0,2.4,sun,2012,May,Sunday,4
127,2012-05-07,0.0,23.9,6.1,2.2,sun,2012,May,Monday,4
128,2012-05-08,0.0,18.3,9.4,3.0,sun,2012,May,Tuesday,4
129,2012-05-09,0.0,13.3,6.7,3.9,rain,2012,May,Wednesday,2
130,2012-05-10,0.0,14.4,3.9,3.0,sun,2012,May,Thursday,4
131,2012-05-11,0.0,18.3,4.4,4.3,sun,2012,May,Friday,4
132,2012-05-12,0.0,24.4,6.7,3.4,sun,2012,May,Saturday,4
133,2012-05-13,0.0,25.6,9.4,4.2,sun,2012,May,Sunday,4
134,2012-05-14,0.0,26.7,12.8,3.8,sun,2012,May,Monday,4
135,2012-05-15,0.0,24.4,9.4,4.1,drizzle,2012,May,Tuesday,0
136,2012-05-16,0.0,19.4,9.4,3.5,sun,2012,May,Wednesday,4
137,2012-05-17,0.0,17.8,6.7,2.9,rain,2012,May,Thursday,2
138,2012-05-18,0.0,15.6,7.8,3.1,rain,2012,May,Friday,2
139,2012-05-19,0.0,19.4,7.2,1.5,sun,2012,May,Saturday,4
140,2012-05-20,6.4,14.4,11.7,1.3,rain,2012,May,Sunday,2
141,2012-05-21,14.0,16.7,10.0,4.0,rain,2012,May,Monday,2
142,2012-05-22,6.1,12.8,8.9,4.8,rain,2012,May,Tuesday,2
143,2012-05-23,0.3,14.4,8.9,6.3,rain,2012,May,Wednesday,2
144,2012-05-24,0.0,17.2,8.9,3.3,rain,2012,May,Thursday,2
145,2012-05-25,0.0,22.2,8.9,3.1,rain,2012,May,Friday,2
146,2012-05-26,0.0,22.2,8.9,3.6,sun,2012,May,Saturday,4
147,2012-05-27,0.0,17.2,11.7,3.7,sun,2012,May,Sunday,4
148,2012-05-28,0.0,16.7,10.0,3.4,rain,2012,May,Monday,2
149,2012-05-29,0.0,16.1,7.8,1.8,sun,2012,May,Tuesday,4
150,2012-05-30,0.3,18.9,11.1,1.5,rain,2012,May,Wednesday,2
151,2012-05-31,3.8,17.8,12.2,2.7,rain,2012,May,Thursday,2
152,2012-06-01,6.6,20.0,12.8,3.7,rain,2012,June,Friday,2
153,2012-06-02,0.3,18.9,10.6,3.7,rain,2012,June,Saturday,2
154,2012-06-03,0.0,17.2,9.4,2.9,sun,2012,June,Sunday,4
155,2012-06-04,1.3,12.8,8.9,3.1,rain,2012,June,Monday,2
156,2012-06-05,16.0,13.3,8.3,3.3,rain,2012,June,Tuesday,2
157,2012-06-06,0.0,16.1,6.1,3.4,sun,2012,June,Wednesday,4
158,2012-06-07,16.5,16.1,8.9,3.5,rain,2012,June,Thursday,2
159,2012-06-08,1.5,15.0,8.3,3.0,rain,2012,June,Friday,2
160,2012-06-09,0.0,17.2,8.3,4.7,rain,2012,June,Saturday,2
161,2012-06-10,0.0,18.9,10.0,2.9,sun,2012,June,Sunday,4
162,2012-06-11,0.0,23.3,10.0,1.8,rain,2012,June,Monday,2
163,2012-06-12,0.8,18.3,12.8,3.9,rain,2012,June,Tuesday,2
164,2012-06-13,0.0,16.1,11.1,4.3,sun,2012,June,Wednesday,4
165,2012-06-14,0.0,17.2,10.0,2.7,sun,2012,June,Thursday,4
166,2012-06-15,0.0,22.2,9.4,1.7,sun,2012,June,Friday,4
167,2012-06-16,0.0,21.1,15.0,4.1,rain,2012,June,Saturday,2
168,2012-06-17,0.0,18.9,11.7,6.4,sun,2012,June,Sunday,4
169,2012-06-18,3.0,17.2,10.0,3.8,rain,2012,June,Monday,2
