user_id,day_type,work_hours,screen_time_hours,meetings_count,breaks_taken,after_hours_work,sleep_hours,task_completion_rate,burnout_score,burnout_risk
1,1,9.59,11.86,4,2,0,7.55,91.2,19.17,0
1,0,7.38,10.33,4,1,0,6.69,82.0,29.7,0
1,0,6.31,8.92,1,2,0,8.87,80.6,32.93,0
1,1,8.34,10.7,4,1,1,8.13,70.0,45.47,0
1,0,6.97,9.83,1,2,0,5.85,67.1,51.61,0
1,1,7.24,9.09,1,4,0,7.53,69.1,54.16,0
1,1,8.09,11.64,6,3,1,5.04,58.4,68.83,0
1,1,7.15,9.98,3,4,0,5.89,46.9,78.89,1
1,1,8.72,11.8,1,2,0,6.19,49.8,84.39,1
1,0,5.93,9.17,0,4,0,7.88,55.6,83.86,1
2,0,3.0,6.81,3,5,1,7.49,84.2,17.37,0
2,1,7.96,11.25,3,3,0,6.23,98.3,14.76,0
2,0,5.05,7.38,0,5,0,5.76,84.5,20.89,0
2,0,3.79,6.12,3,1,1,5.81,90.3,20.52,0
2,0,4.69,7.09,1,5,1,7.92,85.8,23.1,0
2,0,3.0,5.05,0,3,1,7.75,85.1,23.44,0
2,1,6.49,9.6,3,1,0,7.37,79.0,28.23,0
2,1,10.04,11.83,3,3,1,7.6,80.7,31.62,0
2,0,3.12,5.08,0,4,0,6.65,77.3,32.6,0
2,1,6.83,8.81,7,5,0,6.03,74.4,36.7,0
3,0,4.49,6.53,2,1,0,6.21,103.0,3.78,0
3,0,5.47,8.1,2,2,1,7.97,92.3,9.83,0
3,1,7.71,11.12,1,1,0,7.57,86.0,14.72,0
3,1,8.94,12.85,4,2,0,6.79,84.4,19.01,0
3,1,6.99,8.58,1,5,0,6.51,90.1,18.12,0
3,1,7.69,9.7,6,4,1,5.3,86.7,23.36,0
3,1,10.01,13.75,3,4,0,6.51,79.3,29.98,0
3,0,3.85,7.57,1,5,0,5.49,82.8,29.12,0
3,0,4.31,7.55,3,1,0,7.3,80.8,31.2,0
3,0,5.54,8.48,2,3,0,7.79,78.6,33.26,0
4,1,9.43,12.64,3,1,0,5.32,98.4,18.66,0
4,0,3.81,7.4,2,4,1,8.55,89.3,24.25,0
4,0,4.6,6.58,0,4,1,8.06,86.4,26.79,0
4,0,5.42,7.17,1,3,0,6.76,81.1,31.26,0
4,0,5.5,9.35,2,1,0,6.85,75.0,38.22,0
4,0,3.28,5.87,1,2,0,6.59,78.3,37.68,0
4,0,4.91,8.74,0,5,0,8.54,76.1,38.86,0
4,1,9.24,11.96,2,4,0,10.06,77.9,43.47,0
4,0,6.05,7.89,1,5,1,5.37,59.2,55.61,0
4,1,9.01,12.18,4,1,0,6.94,56.2,66.05,0
5,1,10.73,12.33,3,4,0,7.55,83.7,19.12,0
5,0,5.59,7.2,0,1,0,6.51,93.5,17.49,0
5,0,3.78,6.39,1,1,0,5.11,80.0,24.92,0
5,0,6.54,9.05,1,3,0,7.6,86.6,24.99,0
5,1,10.0,13.71,1,5,0,5.85,77.9,34.9,0
5,0,4.09,5.96,0,5,1,7.15,82.5,33.75,0
5,0,3.36,5.03,2,4,0,7.07,67.6,39.77,0
5,1,6.92,9.62,1,2,0,7.04,74.3,40.78,0
5,1,8.91,12.54,5,2,1,7.1,71.4,50.65,0
5,0,4.74,8.49,0,5,0,8.71,60.8,54.85,0
6,0,4.78,6.56,2,3,0,7.58,97.5,8.29,0
6,1,6.12,9.64,2,2,1,5.87,82.9,20.43,0
6,1,8.82,11.33,4,2,0,6.64,87.3,26.64,0
6,0,4.22,7.35,2,4,0,6.31,87.3,28.52,0
6,0,5.65,7.69,2,1,0,8.07,73.8,36.97,0
6,0,3.34,5.52,0,5,0,8.28,85.1,30.66,0
6,0,4.03,6.54,0,1,0,6.73,79.6,34.08,0
6,1,9.56,11.94,3,1,0,7.66,74.5,44.12,0
6,1,8.01,10.18,6,5,0,4.5,58.7,58.57,0
6,0,3.49,5.13,1,2,0,6.58,71.1,54.23,0
7,0,3.74,6.03,0,1,1,7.08,96.7,9.09,0
7,0,5.89,9.56,2,2,1,6.88,93.1,14.62,0
7,1,7.24,9.94,3,3,0,4.69,81.6,24.06,0
7,1,9.34,13.04,4,4,0,8.12,74.7,32.3,0
7,0,4.63,6.32,2,5,0,7.86,69.8,34.7,0
7,0,3.94,7.56,1,5,0,6.73,78.9,31.55,0
7,1,8.74,10.26,2,5,1,7.05,69.2,40.32,0
7,1,7.2,9.54,0,1,0,7.3,70.0,43.07,0
7,1,8.49,11.63,2,5,0,8.69,68.1,47.31,0
7,0,3.71,7.38,1,4,0,9.11,79.4,42.42,0
8,0,4.14,7.09,1,3,1,6.02,98.8,9.1,0
8,0,6.84,8.77,1,3,0,6.22,81.8,21.84,0
8,1,7.88,9.67,2,3,0,6.2,77.5,31.84,0
8,1,7.13,10.22,6,4,1,7.56,71.4,45.6,0
8,0,6.62,8.82,0,5,0,6.46,75.4,47.78,0
8,0,3.0,5.54,1,3,1,6.59,62.1,55.25,0
8,0,6.34,9.65,0,2,0,7.68,58.2,61.3,0
8,1,9.0,11.49,5,3,0,6.23,47.3,78.28,1
8,1,7.69,10.24,4,2,0,5.61,42.3,91.17,1
8,0,3.91,7.38,0,1,1,5.92,40.9,96.5,1
9,0,6.89,9.89,1,1,1,6.56,86.4,16.7,0
9,0,4.01,6.06,2,4,1,8.43,95.9,14.02,0
9,1,9.24,12.51,0,2,1,7.58,81.2,25.29,0
9,0,3.49,5.18,1,3,0,7.52,94.2,19.95,0
9,0,3.94,6.1,0,2,1,7.95,79.8,26.72,0
9,0,3.0,6.45,2,2,1,6.86,79.5,28.62,0
9,0,3.88,7.04,0,1,1,6.13,85.7,28.29,0
9,0,5.19,8.24,0,1,1,6.3,82.8,32.5,0
9,0,5.03,9.03,0,5,0,5.48,75.8,36.75,0
9,1,5.98,8.84,2,4,1,6.53,71.8,41.86,0
10,0,4.33,7.87,0,3,0,6.7,90.2,12.76,0
10,1,8.29,10.67,2,1,0,6.66,89.0,21.98,0
10,0,4.6,6.84,2,5,1,7.0,89.2,25.3,0
10,1,8.07,9.92,6,2,0,8.96,59.2,46.19,0
10,1,6.18,8.02,4,1,1,7.07,63.6,52.92,0
10,0,4.75,7.27,0,2,0,8.12,64.1,53.89,0
10,0,3.0,4.52,0,4,1,9.33,67.4,51.02,0
10,1,8.29,10.24,2,1,0,4.68,58.7,64.32,0
10,1,7.78,10.9,4,2,1,5.08,52.2,79.07,1
10,0,5.34,8.84,1,1,0,7.61,45.7,85.6,1
11,1,6.85,9.33,0,5,0,6.26,91.8,17.07,0
11,1,7.7,10.39,3,1,0,6.34,83.2,30.46,0
11,1,6.58,10.54,0,3,0,6.21,70.2,41.38,0
11,0,5.77,9.67,1,2,1,6.32,59.7,53.2,0
11,0,3.98,7.67,0,4,1,7.95,56.4,56.39,0
11,0,4.81,8.61,1,3,1,6.75,55.2,62.21,0
11,0,5.32,8.85,1,1,0,6.53,54.1,67.77,0
11,0,5.13,7.5,1,5,0,4.5,54.3,71.46,1
11,1,8.78,10.64,0,3,0,5.97,48.7,81.87,1
11,1,9.19,12.68,1,1,0,6.3,41.1,95.98,1
12,1,8.16,11.7,4,1,0,5.41,85.2,22.74,0
12,0,5.08,8.75,1,4,1,7.91,77.7,28.95,0
12,1,7.97,11.0,5,4,0,7.18,86.3,32.82,0
12,0,5.59,8.54,2,2,0,6.54,75.1,41.39,0
12,1,8.62,12.18,3,1,0,4.6,68.5,53.76,0
12,0,3.0,5.23,2,4,0,7.5,67.4,53.8,0
12,0,3.0,5.22,0,3,0,7.75,66.7,52.84,0
12,0,5.29,8.8,1,1,0,5.85,59.8,59.74,0
12,0,3.73,5.91,1,5,0,7.63,62.1,58.22,0
12,0,3.0,4.76,0,5,1,6.23,59.1,59.59,0
13,1,8.88,12.02,5,4,0,9.76,80.0,22.36,0
13,1,9.22,12.23,1,3,0,5.03,75.5,30.86,0
13,1,8.74,10.66,5,2,0,5.66,77.8,37.77,0
13,0,5.06,7.74,2,3,1,6.82,74.4,42.75,0
13,0,5.65,8.62,2,4,0,8.45,68.9,46.89,0
13,0,3.86,7.76,1,1,0,7.42,68.3,48.63,0
13,1,7.14,10.72,2,4,0,7.55,62.0,55.11,0
13,1,10.04,13.72,1,5,0,6.38,56.3,63.82,0
13,0,4.74,6.71,2,4,1,7.31,65.3,62.8,0
13,0,3.0,5.08,2,4,0,6.37,63.0,63.84,0
14,0,3.0,5.17,1,5,0,4.7,88.5,11.02,0
14,0,4.24,8.15,2,5,0,7.73,94.9,9.23,0
14,0,5.05,8.5,1,2,0,4.96,91.4,13.35,0
14,1,9.76,13.69,2,2,0,7.75,83.8,22.16,0
14,1,7.53,10.9,1,2,0,6.09,86.2,25.43,0
14,1,8.03,11.08,2,4,1,7.24,70.7,36.54,0
14,1,7.88,10.44,3,1,1,7.7,68.8,42.97,0
14,0,5.13,8.16,2,1,0,7.31,69.2,45.23,0
14,0,4.08,7.27,1,3,0,6.3,75.7,43.8,0
14,0,4.4,8.24,2,3,1,5.68,71.7,48.61,0
15,1,8.02,11.61,4,3,1,7.25,82.6,25.75,0
15,0,4.71,7.84,2,3,0,7.54,78.0,30.57,0
15,1,7.56,9.28,2,5,1,7.79,83.4,35.76,0
15,1,8.89,11.58,7,2,0,7.9,64.0,56.49,0
15,1,8.83,12.06,2,2,1,6.74,49.6,74.52,1
15,1,9.96,13.02,3,1,0,8.69,40.0,90.0,1
15,0,5.2,8.68,2,2,0,6.15,40.0,95.41,1
15,1,7.87,10.43,4,3,0,5.39,40.0,105.92,1
15,1,9.05,11.45,2,3,1,7.09,40.0,117.35,2
15,1,5.69,9.32,0,5,1,8.65,40.0,120.7,2
16,1,10.13,13.13,2,5,1,6.32,92.0,15.64,0
16,0,4.93,8.07,0,2,0,7.22,89.2,18.13,0
16,0,3.0,6.33,1,5,1,6.61,91.8,17.84,0
16,0,3.37,7.25,2,2,1,6.98,86.6,22.18,0
16,1,8.48,11.67,3,2,1,5.82,66.6,37.16,0
16,1,6.97,9.21,2,5,1,6.53,75.6,37.67,0
16,1,7.93,10.56,2,5,0,7.51,83.0,38.16,0
16,1,10.09,11.81,1,5,1,7.98,73.0,47.61,0
16,0,4.74,8.71,1,2,1,6.4,65.0,54.03,0
16,1,7.87,10.8,2,3,0,4.5,72.2,56.37,0
17,0,5.41,8.0,1,2,0,6.53,94.5,8.44,0
17,1,8.18,11.19,3,5,1,6.21,88.3,17.34,0
17,1,8.83,12.0,2,1,0,6.85,84.0,25.41,0
17,0,3.7,6.45,1,4,0,7.26,85.5,24.95,0
17,1,7.14,10.24,1,2,0,5.62,81.3,31.22,0
17,1,8.18,10.71,8,2,1,6.69,73.3,43.64,0
17,0,6.35,7.94,1,1,1,5.42,61.4,53.43,0
17,1,8.93,10.99,2,1,0,5.92,61.4,59.92,0
17,0,4.64,6.18,1,1,1,6.73,54.6,65.58,0
17,0,5.82,7.88,0,3,1,7.19,63.1,65.06,0
18,1,9.89,12.69,1,3,1,5.89,79.4,23.33,0
18,1,6.76,10.07,3,5,1,5.84,84.3,27.56,0
18,1,7.71,10.43,4,3,1,8.58,71.8,39.33,0
18,0,3.95,7.19,1,2,0,5.45,73.5,40.79,0
18,1,6.44,10.38,2,5,1,6.81,67.3,48.35,0
18,1,9.36,11.61,4,5,1,8.91,60.8,58.38,0
18,0,3.08,5.72,0,3,0,4.5,60.5,59.21,0
18,0,3.32,6.19,0,5,0,6.53,57.6,59.71,0
18,1,8.69,11.15,2,2,1,8.44,49.5,70.01,1
18,0,3.35,5.57,3,3,1,8.01,63.2,66.46,0
19,1,7.88,11.39,4,1,1,7.64,82.0,26.85,0
19,1,8.65,10.52,5,3,0,6.39,72.3,40.81,0
19,0,4.05,6.41,1,4,1,5.89,64.0,47.27,0
19,1,10.07,11.93,1,4,1,6.76,73.7,53.77,0
19,1,9.07,12.06,3,1,0,7.46,54.6,71.39,1
19,1,8.74,12.36,0,5,1,8.18,52.0,79.75,1
19,0,4.87,6.47,1,2,0,8.72,52.3,80.81,1
19,1,8.51,10.34,3,4,0,6.29,40.0,93.86,1
19,0,4.19,5.88,0,4,1,8.05,40.0,94.83,1
19,0,3.0,6.27,1,2,0,6.69,44.5,93.79,1
20,0,4.02,6.25,1,3,0,5.99,88.1,14.65,0
20,0,3.0,6.94,1,1,1,8.04,95.6,13.5,0
20,0,4.89,7.58,3,2,0,5.01,86.5,21.44,0
20,1,7.92,11.19,2,1,1,4.99,88.3,29.53,0
20,0,4.8,7.9,2,1,1,6.91,69.8,41.44,0
20,0,4.4,7.86,0,1,0,5.38,69.0,44.41,0
20,0,5.1,7.15,2,5,0,6.64,66.9,47.11,0
20,0,4.32,5.88,1,4,0,6.33,71.0,46.36,0
