iter	Passed	Remaining
0	9	2761
1	18	2720
2	22	2275
3	26	1951
4	30	1801
5	35	1742
6	42	1789
7	44	1611
8	47	1539
9	50	1463
10	53	1396
11	55	1337
12	58	1285
13	61	1257
14	64	1221
15	66	1180
16	68	1142
17	71	1114
18	74	1108
19	77	1084
20	79	1061
21	81	1025
22	85	1026
23	87	1009
24	90	994
25	92	977
26	94	958
27	97	943
28	99	928
29	101	911
30	103	895
31	105	880
32	107	866
33	109	854
34	111	844
35	113	832
36	115	820
37	117	809
38	119	801
39	121	790
40	123	780
41	125	771
42	127	761
43	129	752
44	132	748
45	134	741
46	136	734
47	138	726
48	140	718
49	142	710
50	144	707
51	147	703
52	149	696
53	151	689
54	153	682
55	155	677
56	157	670
57	159	665
58	161	660
59	164	656
60	166	651
61	168	646
62	170	641
63	173	638
64	175	635
65	177	629
66	179	624
67	181	618
68	183	613
69	185	609
70	187	605
71	189	600
72	191	595
73	193	590
74	195	585
75	197	580
76	199	578
77	201	573
78	203	569
79	205	565
80	207	560
81	209	556
82	211	553
83	213	549
84	216	547
85	218	544
86	220	540
87	222	535
88	225	533
89	227	529
90	229	527
91	231	523
92	233	519
93	235	515
94	238	515
95	241	513
96	243	509
97	245	505
98	247	502
99	249	498
100	251	495
101	253	492
102	255	488
103	257	484
104	259	481
105	261	477
106	263	475
107	265	472
108	267	468
109	269	465
110	271	461
111	273	458
112	275	455
113	277	452
114	279	449
115	281	445
116	282	442
117	284	439
118	286	436
119	288	433
120	290	430
121	292	427
122	294	423
123	296	420
124	298	417
125	300	414
126	303	412
127	305	410
128	307	407
129	309	404
130	311	401
131	313	399
132	315	396
133	317	393
134	319	391
135	321	388
136	323	385
137	325	382
138	328	380
139	330	377
140	332	375
141	335	373
142	337	370
143	340	368
144	342	366
145	344	363
146	346	360
147	348	358
148	350	355
149	352	352
150	354	350
151	356	347
152	358	344
153	361	342
154	363	339
155	365	337
156	367	334
157	369	332
158	371	329
159	373	327
160	376	324
161	378	322
162	380	319
163	382	317
164	384	314
165	386	311
166	388	309
167	390	306
168	392	304
169	394	301
170	396	299
171	398	296
172	400	294
173	402	291
174	405	289
175	407	286
176	409	284
177	411	281
178	413	279
179	415	276
180	417	274
181	419	272
182	421	269
183	423	267
184	425	264
185	427	262
186	430	260
187	433	258
188	435	255
189	437	253
190	439	250
191	441	248
192	442	245
193	445	243
194	447	240
195	449	238
196	451	235
197	453	233
198	455	231
199	457	228
200	459	226
201	461	223
202	463	221
203	465	219
204	467	216
205	469	214
206	471	211
207	473	209
208	475	207
209	477	204
210	479	202
211	482	200
212	484	198
213	487	195
214	489	193
215	491	191
216	494	188
217	496	186
218	498	184
219	500	182
220	502	179
221	505	177
222	507	175
223	509	173
224	511	170
225	513	168
226	515	165
227	517	163
228	519	161
229	522	158
230	524	156
231	526	154
232	528	151
233	530	149
234	532	147
235	534	144
236	536	142
237	538	140
238	540	137
239	542	135
240	544	133
241	546	130
242	548	128
243	550	126
244	552	124
245	554	121
246	556	119
247	559	117
248	561	115
249	563	112
250	565	110
251	568	108
252	571	106
253	574	104
254	576	101
255	579	99
256	581	97
257	585	95
258	587	93
259	589	90
260	591	88
261	593	86
262	595	83
263	598	81
264	600	79
265	602	76
266	604	74
267	606	72
268	608	70
269	610	67
270	612	65
271	614	63
272	616	60
273	618	58
274	620	56
275	621	54
276	624	51
277	627	49
278	628	47
279	630	45
280	633	42
281	635	40
282	637	38
283	639	36
284	641	33
285	643	31
286	645	29
287	647	26
288	649	24
289	651	22
290	654	20
291	656	17
292	658	15
293	660	13
294	662	11
295	664	8
296	666	6
297	668	4
298	670	2
299	671	0
